SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 01-Oct-2020,28.25,28.4,28.9,28.3,28.5,28.5,28.57,21150,6.04,216,13386,63.29
21STCENMGM, EQ, 01-Oct-2020,9.9,10.05,10.05,10.05,10.05,10.05,10.05,65,0.01,3,65,100
3IINFOTECH, EQ, 01-Oct-2020,3.3,3.45,3.45,3.4,3.45,3.45,3.45,5134282,177.08,1578,2637651,51.37
3MINDIA, EQ, 01-Oct-2020,18307.15,18450,18500,18151.05,18259.95,18230.9,18280.65,1948,356.11,1067,1113,57.14
5PAISA, BE, 01-Oct-2020,347.1,350,360,329.75,338,334.4,340.7,11987,40.84,220, -, -
63MOONS, EQ, 01-Oct-2020,68.35,68.65,71.75,67.15,71.75,71.75,70.49,52783,37.21,970,36718,69.56
716GS2050, GS, 01-Oct-2020,110,111.95,111.95,109,109,109,109.18,100,0.11,8,100,100
737GS2023, GS, 01-Oct-2020,105,101.5,101.5,101.5,101.5,101.5,101.5,100,0.1,1,100,100
74GS2035, GS, 01-Oct-2020,102.2,102.2,102.2,102.2,102.2,102.2,102.2,50,0.05,1,50,100
757GS2033, GS, 01-Oct-2020,111,111.5,111.5,111.5,111.5,111.5,111.5,10,0.01,1,10,100
769GS2043, GS, 01-Oct-2020,114.21,119.9,119.9,119.9,119.9,119.9,119.9,10,0.01,1,10,100
8KMILES, BE, 01-Oct-2020,57.2,60.05,60.05,60.05,60.05,60.05,60.05,15928,9.56,101, -, -
A2ZINFRA, EQ, 01-Oct-2020,4.05,4.05,4.1,4,4.05,4.1,4.06,177633,7.21,170,132419,74.55
AAKASH, EQ, 01-Oct-2020,51.8,51.8,52,49.6,50.5,50.5,49.85,1230,0.61,21,1230,100
AARON, SM, 01-Oct-2020,30.4,28.5,28.5,28.5,28.5,28.5,28.5,6300,1.8,1,6300,100
AARTIDRUGS, EQ, 01-Oct-2020,771.3,809.85,809.85,809.85,809.85,809.85,809.85,45880,371.56,782,45880,100
AARTIIND, EQ, 01-Oct-2020,1014.95,1020.95,1030,1008.05,1024,1015,1019.71,144417,1472.64,11248,66174,45.82
AARTISURF, BE, 01-Oct-2020,499.7,520,524.65,506.05,518,520.5,517.35,20195,104.48,1502, -, -
AARVEEDEN, EQ, 01-Oct-2020,11,11,11.25,10.75,11.15,11,10.88,821,0.09,18,661,80.51
AARVI, EQ, 01-Oct-2020,40.15,40.05,40.9,39,40.8,40.8,40.76,460,0.19,26,314,68.26
AAVAS, EQ, 01-Oct-2020,1434.55,1449.95,1487.85,1385.55,1396,1420.85,1449.64,139869,2027.6,10417,103979,74.34
ABAN, EQ, 01-Oct-2020,23.7,23.6,24.15,23.5,23.5,23.75,23.9,25124,6,337,19328,76.93
ABB, EQ, 01-Oct-2020,859.5,866.05,873,859.9,867,861,866.43,226679,1964.01,8731,136388,60.17
ABBOTINDIA, EQ, 01-Oct-2020,16486.95,16470,16595,16325,16395.05,16384.9,16420.26,6133,1007.05,3114,3079,50.2
ABCAPITAL, EQ, 01-Oct-2020,62.2,62.75,64,62.75,63.2,63.25,63.47,975000,618.88,5585,293769,30.13
ABFRL, EQ, 01-Oct-2020,133.6,135,135.5,131.7,132.5,132.6,133.61,663617,886.66,8181,217124,32.72
ABFRLPP, E1, 01-Oct-2020,74.7,75.95,77.4,73.15,76.75,76.45,75.37,83299,62.78,391,71784,86.18
ABMINTLTD, BE, 01-Oct-2020,17,16.15,16.15,16.15,16.15,16.15,16.15,4511,0.73,22, -, -
ABSLBANETF, EQ, 01-Oct-2020,213.25,212,227.43,212,213.25,213.25,213.23,577,1.23,45,396,68.63
ABSLNN50ET, EQ, 01-Oct-2020,288.49,292,304.97,277,282,278.23,283.1,413,1.17,50,201,48.67
ABSLRIF6RG, MF, 01-Oct-2020,6.21,6.45,6.45,6.45,6.45,6.45,6.45,15000,0.97,2,15000,100
ACC, EQ, 01-Oct-2020,1393.45,1410,1423,1396,1415.35,1415.1,1409.15,850859,11989.92,25011,344483,40.49
ACCELYA, EQ, 01-Oct-2020,1033.05,1034.75,1034.75,1032.05,1033.3,1033.5,1033.33,4894,50.57,224,3779,77.22
ACCURACY, SM, 01-Oct-2020,36.5,37.25,37.25,37.2,37.2,37.2,37.23,3200,1.19,2,0,0
ACE, EQ, 01-Oct-2020,67.05,67.65,73.5,66.85,72.25,72.3,71.4,748118,534.12,4965,396766,53.04
ADANIENT, EQ, 01-Oct-2020,297.1,299.8,311.95,296,310,308.15,303.2,6914505,20964.52,50276,1202390,17.39
ADANIGAS, EQ, 01-Oct-2020,189.2,192.95,194.55,191.1,193.5,193.35,192.61,936940,1804.61,10591,370986,39.6
ADANIGREEN, EQ, 01-Oct-2020,737.6,754,756.9,715,747,747.1,740.9,890015,6594.09,35827,352986,39.66
ADANIPORTS, EQ, 01-Oct-2020,341.75,345.5,354.9,344.5,353.95,353.3,350.87,3004005,10540.28,38850,373035,12.42
ADANIPOWER, EQ, 01-Oct-2020,36.9,37,37.35,36.85,37.05,37.05,37.08,733233,271.86,2591,343898,46.9
